"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WYN","Wyndham Worldwide Corp","103.06","$10.75B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/wyn",
"XTLY","Xactly Corporation","15.6","$500.3M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xtly",
"XEL","Xcel Energy Inc.","47.42","$24.08B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XHR","Xenia Hotels & Resorts, Inc.","20.01","$2.14B","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/xhr",
"XRM","Xerium Technologies, Inc.","7.38","$119.32M","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","29.45","$1.87B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XIN","Xinyuan Real Estate Co Ltd","5.45","$358.14M","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
"XL","XL Group Ltd.","46.41","$12.13B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"XOXO","XO Group, Inc.","18.03","$467.11M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xoxo",
"XPO","XPO Logistics, Inc.","60.67","$6.78B","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/xpo",
"XYL","Xylem Inc.","57.62","$10.36B","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
"AUY","Yamana Gold Inc.","2.62","$2.48B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/auy",
"YELP","Yelp Inc.","32.11","$2.59B","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/yelp",
"YEXT","Yext, Inc.","13.71","$1.23B","2017","Technology","EDP Services","http://www.nasdaq.com/symbol/yext",
"YGE","Yingli Green Energy Holding Company Limited","2.44","$44.35M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/yge",
"YRD","Yirendai Ltd.","33.18","$1.98B","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/yrd",
"YPF","YPF Sociedad Anonima","19.99","$7.86B","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"YUMC","Yum China Holdings, Inc.","37.16","$14.24B","2016","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yumc",
"YUM","Yum! Brands, Inc.","74.74","$26.03B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yum",
"YUME","YuMe, Inc.","4.37","$149.63M","2013","Technology","Advertising","http://www.nasdaq.com/symbol/yume",
"ZAYO","Zayo Group Holdings, Inc.","32.8","$8.06B","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zayo",
"ZEN","Zendesk, Inc.","29.16","$2.89B","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/zen",
"ZPIN","Zhaopin Limited","18.83","$1.05B","2014","Technology","Professional Services","http://www.nasdaq.com/symbol/zpin",
"ZBH","Zimmer Biomet Holdings, Inc.","129.61","$26.14B","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zbh",
"ZB^A","Zions Bancorporation","24.9875","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^a",
"ZB^G","Zions Bancorporation","27.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^g",
"ZB^H","Zions Bancorporation","25.6899","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^h",
